,Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeResult,AwayResult,scoredhome,scoredaway,concededhome,concededaway,winshome,winsaway
170,26/12/11,Chelsea,Fulham,1,1,0.5,0.5,22,5,13,10,6.5,3.0
171,26/12/11,Liverpool,Blackburn,1,1,0.5,0.5,11,13,7,20,6.0,2.5
172,26/12/11,Man United,Wigan,5,0,1.0,0.0,28,6,11,19,7.5,2.5
173,26/12/11,Stoke,Aston Villa,0,0,0.5,0.5,12,8,9,12,5.5,4.0
174,26/12/11,Sunderland,Everton,1,1,0.5,0.5,13,9,11,10,4.0,3.5
175,26/12/11,West Brom,Man City,0,0,0.5,0.5,7,25,11,11,3.0,6.5
176,27/12/11,Arsenal,Wolves,1,1,0.5,0.5,15,7,6,18,7.0,2.0
177,27/12/11,Norwich,Tottenham,0,2,0.0,1.0,16,17,14,11,5.0,6.5
178,27/12/11,Swansea,QPR,1,1,0.5,0.5,11,10,3,17,6.0,3.5
179,30/12/11,Liverpool,Newcastle,3,1,1.0,0.0,14,14,8,14,7.0,5.5
180,31/12/11,Arsenal,QPR,1,0,1.0,0.0,16,10,6,18,8.0,3.5
181,31/12/11,Bolton,Wolves,1,1,0.5,0.5,11,8,24,19,1.5,2.5
182,31/12/11,Chelsea,Aston Villa,1,3,0.0,1.0,23,11,16,13,6.5,5.0
183,31/12/11,Man United,Blackburn,2,3,0.0,1.0,30,16,14,22,7.5,3.5
184,31/12/11,Norwich,Fulham,1,1,0.5,0.5,17,6,15,11,5.5,3.5
185,31/12/11,Stoke,Wigan,2,2,0.5,0.5,14,8,11,21,6.0,3.0
186,31/12/11,Swansea,Tottenham,1,1,0.5,0.5,12,18,4,12,6.5,7.0
187,01/01/12,Sunderland,Man City,1,0,1.0,0.0,14,25,11,12,5.0,6.5
188,01/01/12,West Brom,Everton,0,1,0.0,1.0,7,10,12,10,3.0,4.5
189,02/01/12,Aston Villa,Swansea,0,2,0.0,1.0,11,8,13,19,4.0,2.5
190,02/01/12,Blackburn,Stoke,1,2,0.0,1.0,13,8,21,20,2.0,4.5
191,02/01/12,Fulham,Arsenal,2,1,1.0,0.0,16,20,15,22,5.5,4.5
